Population_Growth_Rate_(percentage),Real_GDP_per_Capita_USD,Median_Age,Total_Fertility_Rate,Expected_Years_of_Schooling_(years),Youth_Unemployment_Rate_percent,Country,Real_GDP_per_Capita_USD_original,Cluster
0.644,9.268703615273097,32.7,2.04,15.45771503,7.2,Viet Nam,10600.0,0
1.755,10.440010162389305,37.2,1.37,13.33577728,16.5,"Virgin Islands, British",34200.0,0
-0.929,10.518700218288165,42.7,1.98,13.33577728,27.0,"Virgin Islands, U.S.",37000.0,3
-0.888,8.24301946898925,35.8,1.71,13.33577728,16.5,Wallis and Futuna,3800.0,0
3.029,7.824445930877619,21.6,2.91,7.494902735,25.5,Yemen,2500.0,1
2.833,8.071218539969863,18.2,4.49,11.02052892,26.1,Zambia,3200.0,1
1.684,7.650168700845001,21.0,3.51,11.05745312,7.3,Zimbabwe,2100.0,1
0.881,9.38437770918244,31.85,1.955,13.33577728,48.8,nan,11900.0,2
1.882,9.53249633228804,31.85,1.955,13.33577728,16.5,Western Sahara,13800.0,0
3.314,9.53249633228804,31.85,1.955,13.33577728,16.5,Mayotte,13800.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Antarctica,13800.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,United States Minor Outlying Islands,13800.0,0
-0.824,9.53249633228804,31.85,1.955,13.33577728,16.5,Martinique,13800.0,0
4.631,9.53249633228804,31.85,1.955,13.33577728,16.5,Tokelau,13800.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,French Southern Territories,13800.0,0
-0.404,9.53249633228804,31.85,1.955,13.33577728,16.5,Guadeloupe,13800.0,0
0.41,9.53249633228804,31.85,1.955,13.33577728,16.5,Réunion,13800.0,0
2.452,9.53249633228804,31.85,1.955,11.41112995,16.5,Côte d'Ivoire,13800.0,0
2.846,9.53249633228804,31.85,1.955,13.33577728,16.5,"Bonaire, Sint Eustatius and Saba",13800.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Åland Islands,13800.0,0
